Record Date,Security Class Description,Paper Savings Bonds Conversions Count,Paper Savings Bonds Conversions Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2018-06-30,EE,51943,39174645.99,201806,2,2018,3,2018,2,06,30
2018-06-30,I,11410,35966743.95,201806,3,2018,3,2018,2,06,30
2018-05-31,E,385,161785.44,201805,1,2018,3,2018,2,05,31
2018-05-31,EE,55356,47955978.81,201805,2,2018,3,2018,2,05,31
2018-05-31,I,13871,37400048.94,201805,3,2018,3,2018,2,05,31
2018-04-30,E,554,154744.45,201804,1,2018,3,2018,2,04,30
2018-04-30,EE,58093,44817533.43,201804,2,2018,3,2018,2,04,30
2018-04-30,I,14038,35748477.22,201804,3,2018,3,2018,2,04,30
2018-03-31,E,262,218377.62,201803,1,2018,2,2018,1,03,31
2018-03-31,EE,71434,48363125.93,201803,2,2018,2,2018,1,03,31
2018-03-31,I,16706,43376490.95,201803,3,2018,2,2018,1,03,31
2018-02-28,E,386,118265.96,201802,1,2018,2,2018,1,02,28
2018-02-28,EE,69997,53090739.81,201802,2,2018,2,2018,1,02,28
2018-02-28,I,12836,37520734.92,201802,3,2018,2,2018,1,02,28
2018-01-31,E,298,195070.11,201801,1,2018,2,2018,1,01,31
2018-01-31,EE,70944,47104687.53,201801,2,2018,2,2018,1,01,31
2018-01-31,I,13621,37734260.47,201801,3,2018,2,2018,1,01,31
2017-12-31,E,529,382952.16,201712,1,2018,1,2017,4,12,31
2017-12-31,EE,59832,47445730.06,201712,2,2018,1,2017,4,12,31
2017-12-31,I,11797,33674846.67,201712,3,2018,1,2017,4,12,31
2017-11-30,E,445,132811.83,201711,1,2018,1,2017,4,11,30
2017-11-30,EE,56667,45067778.11,201711,2,2018,1,2017,4,11,30
2017-11-30,I,11386,34916126.37,201711,3,2018,1,2017,4,11,30
2017-10-31,E,340,160735.45,201710,1,2018,1,2017,4,10,31
2017-10-31,EE,58744,47311163.08,201710,2,2018,1,2017,4,10,31
2017-10-31,I,12907,35498264.56,201710,3,2018,1,2017,4,10,31
2017-09-30,E,429,313966.92,201709,1,2017,4,2017,3,09,30
2017-09-30,EE,70879,52350291.97,201709,2,2017,4,2017,3,09,30
2017-09-30,I,12956,37621047.26,201709,3,2017,4,2017,3,09,30
2017-08-31,E,712,339221.65,201708,1,2017,4,2017,3,08,31
2017-08-31,EE,84972,62473895.90,201708,2,2017,4,2017,3,08,31
2017-08-31,I,16555,41561791.92,201708,3,2017,4,2017,3,08,31
2017-07-31,E,250,80562.50,201707,1,2017,4,2017,3,07,31
2017-07-31,EE,69632,50319203.37,201707,2,2017,4,2017,3,07,31
2017-07-31,I,15611,39864393.34,201707,3,2017,4,2017,3,07,31
2017-06-30,E,314,156365.08,201706,1,2017,3,2017,2,06,30
2017-06-30,EE,76992,59029895.59,201706,2,2017,3,2017,2,06,30
2017-06-30,I,16050,41745309.39,201706,3,2017,3,2017,2,06,30
2017-05-31,E,464,198052.13,201705,1,2017,3,2017,2,05,31
2017-05-31,EE,71656,54059752.70,201705,2,2017,3,2017,2,05,31
2017-05-31,I,14141,38077027.22,201705,3,2017,3,2017,2,05,31
2017-04-30,E,401,178928.71,201704,1,2017,3,2017,2,04,30
2017-04-30,EE,77745,54077757.99,201704,2,2017,3,2017,2,04,30
2017-04-30,I,15725,39517656.96,201704,3,2017,3,2017,2,04,30
2017-03-31,E,868,311689.76,201703,1,2017,2,2017,1,03,31
2017-03-31,EE,99133,67502135.13,201703,2,2017,2,2017,1,03,31
2017-03-31,I,20464,44999476.07,201703,3,2017,2,2017,1,03,31
2017-02-28,E,593,217477.74,201702,1,2017,2,2017,1,02,28
2017-02-28,EE,79201,52629153.98,201702,2,2017,2,2017,1,02,28
2017-02-28,I,18052,36361981.98,201702,3,2017,2,2017,1,02,28
2017-01-31,E,428,310973.30,201701,1,2017,2,2017,1,01,31
2017-01-31,EE,62070,40736452.97,201701,2,2017,2,2017,1,01,31
2017-01-31,I,11683,32790111.40,201701,3,2017,2,2017,1,01,31
