Record Date,Security Type Description,Security Class Description,Securities Outstanding Amount,Transactions Month,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-03-31,Savings Bond,I,12846489437.50,202103,3,2021,2,2021,1,03,31
2021-03-31,Marketable,Bond,574618300.00,202103,4,2021,2,2021,1,03,31
2021-03-31,Marketable,Bill,15787920900.00,202103,5,2021,2,2021,1,03,31
2021-03-31,Marketable,Note,6293030900.00,202103,6,2021,2,2021,1,03,31
2021-03-31,Marketable,TIPS,186129000.00,202103,7,2021,2,2021,1,03,31
2021-02-28,Savings Bond,E,11532.40,202102,1,2021,2,2021,1,02,28
2021-02-28,Savings Bond,EE,4378180273.48,202102,2,2021,2,2021,1,02,28
2021-02-28,Savings Bond,I,12766224553.30,202102,3,2021,2,2021,1,02,28
2021-02-28,Marketable,Bond,568597500.00,202102,4,2021,2,2021,1,02,28
2021-02-28,Marketable,Bill,16108426300.00,202102,5,2021,2,2021,1,02,28
2021-02-28,Marketable,Note,6435188800.00,202102,6,2021,2,2021,1,02,28
2021-02-28,Marketable,TIPS,185668000.00,202102,7,2021,2,2021,1,02,28
2021-01-31,Savings Bond,E,0.00,202101,1,2021,2,2021,1,01,31
2021-01-31,Savings Bond,EE,4379369143.64,202101,2,2021,2,2021,1,01,31
2021-01-31,Savings Bond,I,12689292551.56,202101,3,2021,2,2021,1,01,31
2021-01-31,Marketable,Bond,559046300.00,202101,4,2021,2,2021,1,01,31
2021-01-31,Marketable,Bill,16218178000.00,202101,5,2021,2,2021,1,01,31
2021-01-31,Marketable,Note,6570019200.00,202101,6,2021,2,2021,1,01,31
2021-01-31,Marketable,TIPS,185729000.00,202101,7,2021,2,2021,1,01,31
2020-12-31,Savings Bond,E,0.00,202012,1,2021,1,2020,4,12,31
2020-12-31,Savings Bond,EE,4392059898.29,202012,2,2021,1,2020,4,12,31
2020-12-31,Savings Bond,I,12561801050.42,202012,3,2021,1,2020,4,12,31
2020-12-31,Marketable,Bond,558461600.00,202012,4,2021,1,2020,4,12,31
2020-12-31,Marketable,Bill,16295171500.00,202012,5,2021,1,2020,4,12,31
2020-12-31,Marketable,Note,6600495000.00,202012,6,2021,1,2020,4,12,31
